,ID_PRODUCTO,CODIGOPRINCIPAL,NOMBRE,PRECIOSINIVA,STOCK,BODEGA,CATEGORIA,COD_AUXILIAR,PESO,TIPO_SOLUCIONES,CONTROL_SERIES,SUBCATEGORIA,UNIDAD_MEDIDA,MARCA,MODELO,COSTO,ESTADO
0,1536431,ESX00267, ESTUCHE SILICONE COVER XIAOMI REDMI 11 LITE NEGRO,12.053571,0,B. X LEVEL L28,ESTUCHE GENERICOS  (TELEFONOS),ESX00267,0,,NO,,UNIDAD,,,1.61,ACTIVO
1,1638154,AC01004,ACTIVE STYLUS PEN BASEUS ACSXB-A0G,88.392857,0,B. X LEVEL L28,ACCESORIOS,AC01004,0,,NO,,UNIDAD,,,51.79,ACTIVO
2,854206,AC08374,ACTIVE STYLUS PEN BASEUS ACSXB-A0G,43.75,0,B. X LEVEL L28,ACCESORIOS,AC08374,0,,NO,,UNIDAD,,,8.04,ACTIVO
3,1429572,AC00986,ACTIVE STYLUS PEN CARGA MAGNETICA PARA IPAD PRO 11 / 12.9,98.214286,1,B. X LEVEL L28,ACCESORIOS,AC00986,0,,NO,,UNIDAD,,,20.95,ACTIVO
4,618042,AC08371,ACTIVE STYLUS PEN MAGNETICO PARA IPAD,98.214286,1,B. X LEVEL L28,ACCESORIOS,AC08371,0,,NO,S PEN/ APPLE PENCIL,UNIDAD,,,19.05,ACTIVO
5,1457810,AC00992,ACTIVE STYLUS PEN PARA ANDROID LENOVO-SAMSUNG,62.410714,0,B. X LEVEL L28,ACCESORIOS,AC00992,0,,NO,,UNIDAD,,,23.21,ACTIVO
6,421207,SE00013,ACTUALIZACION DE SOFTWARE,93.75,0,B. X LEVEL L28,SERVICIOS,SE00013,0,,NO,,UNIDAD,,,0.01,INACTIVO
7,165847,190198001757,ADAPATDOR JACK A LIGHTNING HEADPHONE (OEM),22.3125,0,B. X LEVEL L28,ADAPTADORES & CARGADORES & CABLE USB,190198001757,0,,NO,,UNIDAD,,,10.27,ACTIVO
8,1162986,AC00921,ADAPTADOR 6 IN 1 TYPE-C A HDMI / MICRO SD/ SD  /PUERTO USB BYL-2010N3,53.571429,1,B. X LEVEL L28,ADAPTADORES & CARGADORES & CABLE USB,AC00921,0,,NO,,UNIDAD,,,21.99,ACTIVO
9,1128452,AC00905,ADAPTADOR AORZ 7 IN 1 TYPE-C A MULTI PUERTOS FOR MACBOOK,62.5,0,B. X LEVEL L28,ADAPTADORES & CARGADORES & CABLE USB,AC00905,0,,NO,MACBOOK ,UNIDAD,,,57.0,ACTIVO
10,165846,0006240,ADAPTADOR BANDA QI RECEPTOR DE CARGA INALAMBRICA,10.71,1,B. X LEVEL L28,ADAPTADORES & CARGADORES & CABLE USB,6240,0,,NO,,UNIDAD,,,0.0,ACTIVO
11,165845,6243,ADAPTADOR DE CARGA 12W USB IPAD ( OEM ),16.0625,1,B. X LEVEL L28,ADAPTADORES & CARGADORES & CABLE USB,6243,0,,NO,,UNIDAD,,,5.27,ACTIVO
